proto,No,Message,hcClient,,,,fcClient,,,,,
,,,v4.1.3,v5.0.5dz (2020),v5.0.5dz (2022),v7.0.0,5.0.1,5.0.3,5.0.7,5.0.8,6.0.0,6.0.3
fc_net,1,PluginInfo,x,x,x,x,x,x,x,x,x,x
,2,msgServerStorage,x,x,x,x,x,x,x,x,x,x
,3,MsgServerStorageList,x,x,x,x,x,x,x,x,x,x
,4,MsgServerStorageDataBlock,x,x,x,x,x,x,x,x,x,x
,5,MsgServerStorageDataBlockList,x,x,x,x,x,x,x,x,x,x
,6,MsgUserStorage,x,x,x,x,x,x,x,x,x,x
,7,MsgUserStorageList,x,x,x,x,x,x,x,x,x,x
,8,Reply,x,x,x,x,x,x,x,x,x,x
,9,ClientBaseInfo,x,x,x,x,x,x,x,x,x,x
,10,NewDataConnRequest,x,x,x,x,x,x,x,x,x,x
,11,MsgRoute,x,x,x,x,,x,x,x,x,x
,12,MsgRouteList,x,x,x,x,,x,x,x,x,x
,13,Adapter,x,x,x,x,x,x,x,x,x,x
,14,MsgStringPair,,,x,x,,x,x,x,x,x
,15,MsgStringPairList,,,x,x,,x,x,x,x,x
,16,MsgStringPairLists,,,x,x,,x,x,x,x,x
,17,MsgWmiObject,,,x,x,,x,x,x,x,x
,18,System,x,x,x,x,x,x,x,x,x,x
,19,MsgUsr,x,x,x,x,,x,x,x,x,x
,20,MsgUsrEx,,,x,x,,x,x,x,x,x
,21,MsgExchangeHeartBeatPayload,,,x,x,,x,x,x,x,x
,22,Usr,x,x,x,x,x,x,x,x,x,x
,23,UsrList,x,x,x,x,x,x,x,x,x,x
,24,MsgLocationInfo,,,x,x,,x,x,x,x,x
,25,MsgOnlineHistory,x,x,x,x,x,x,x,x,x,x
,26,MsgOnlineHistoryList,x,x,x,x,x,x,x,x,x,x
,27,Drive,x,x,x,x,x,x,x,x,x,x
,28,DriveList,x,x,x,x,x,x,x,x,x,x
,29,FileData,x,x,x,x,x,x,x,x,x,x
,30,File,x,x,x,x,x,x,x,x,x,x
,31,FileSearchRequest,x,x,x,x,x,x,x,x,x,x
,32,ScreenCaptureRequest,x,x,x,x,x,x,x,x,x,x
,33,BrowserFormRecord,x,x,x,x,x,x,x,x,x,x
,34,BrowserFormRecords,x,x,x,x,x,x,x,x,x,x
,35,BrowserFormRecordsList,x,x,x,x,x,x,x,x,x,x
,36,Plugin,x,x,x,x,x,x,x,x,x,x
,37,PluginList,x,x,x,x,x,x,x,x,x,x
,38,KeyboardPolicy,x,x,x,x,x,x,x,x,x,x
,39,ScreenPolicy,x,x,x,x,x,x,x,x,x,x
,40,AudioPolicy,x,x,x,x,x,x,x,x,x,x
